DepartureDate,DepartureYear,DepartureMonth,DepartureDay,FlightNumber,DepartureAirport,ArrivalAirport,Route,ActualFlightTime,ActualTotalFuel,FlownPassengers,BagsCount,FlightBagsWeight,flight_time_fuel_ratio,bags_weight_ratio,bags_passengers_ratio,PredictedActualTOW
0,2016,11,1,6003,0,0,0,4.442651256490317,8.197263371414335,5.225746673713202,3.784189633918261,6.329720905522696,0.5419676122622608,1.6726753989251635,0.7241433368658436,48654.02
0,2016,11,1,6004,1,1,1,4.465908118654584,8.213652703029998,5.241747015059643,0.0,0.0,0.5437176710682107,0.0,0.0,62432.83
0,2016,11,1,6542,0,2,2,4.61512051684126,8.387312270561717,5.1298987149230735,4.02535169073515,6.580639137284949,0.5502502312975376,1.6347985574604855,0.7846844381206292,62911.66
0,2016,11,1,6541,2,1,3,4.61512051684126,8.453401058328458,5.225746673713202,3.58351893845611,6.133398042996649,0.5459483685911662,1.7115573123325267,0.6857429497074736,64143.02
0,2016,11,1,5542,2,3,4,4.727387818712341,8.497194544909547,5.123963979403259,3.4657359027997265,5.993961427306569,0.556346897052557,1.729491685290984,0.6763778817983317,60656.41
0,2016,11,1,293,2,4,5,4.04305126783455,7.919719760924575,4.919980925828125,3.044522437723423,5.564520407322694,0.5105043347345097,1.827715354754826,0.6188077725547224,58800.51
0,2016,11,1,298,3,2,6,3.9318256327243257,7.7406644019172415,5.181783550292085,2.70805020110221,5.209486152841421,0.507944205894067,1.9237036856706333,0.5226096719052581,62140.54
0,2016,11,1,5543,4,2,7,4.844187086458591,8.566173813637858,5.170483995038151,3.784189633918261,6.329720905522696,0.5655018438624672,1.6726753989251635,0.7318830572824041,63951.75
0,2016,11,1,58,2,5,8,4.700480365792417,8.414274137408396,5.1647859739235145,3.871201010907891,6.415096959171596,0.5586317119019096,1.657133520345692,0.7495375472387813,50906.43
0,2016,11,1,8319,5,5,9,4.007333185232471,7.762596048540069,5.170483995038151,3.295836866004329,5.831882477283517,0.5162362127533534,1.7694693986337175,0.6374329500230878,58633.42
